lat,lon,pano_id,color
6.476,3.165,X1xIzIb1JKwmw2O0XJyWSQ,#588CC7
6.476,3.199,UAsQq4usUSQhXSqHE_amsQ,#588CC7
6.476,3.182,ZRh5CbfUN-umqugpGNqTzQ,#588CC7
6.477,3.165,t808LHKLpFWoltPwTn-3kQ,#588CC7
6.478,3.166,ixsypauqjaL-EQcTbhEXVw,#588CC7
6.477,3.182,KQPYylRjx4I4YG9gHC7kCw,#588CC7
6.477,3.199,5vK17X0t4rc39wKzAIdvmg,#588CC7
6.479,3.166,8FI9jD_3C6hvfMfAid0Efg,#588CC7
6.48,3.15,GqHiqoiJhC1HlGPUFm67wA,#588CC7
6.48,3.184,GGFi2ZVnvoY2QIorxYDc5w,#588CC7
6.48,3.167,t7JHT41OKajjnzzMldyZrA,#588CC7
6.481,3.15,WOyBsAEJ3iNopdkL3cGqnQ,#588CC7
6.481,3.167,owRm7w1JgAq8tfiKNT7X3g,#588CC7
6.482,3.151,2ZxAL1kNwGuqLoURD1yKtQ,#588CC7
6.482,3.185,p_ctkGgf7WhhzfpqkV4kKA,#588CC7
6.481,3.184,VTwROh6uoGF9jEy_d2jCIA,#588CC7
6.482,3.168,62yhnvqiZO9bqYudAm3ylg,#588CC7
6.483,3.168,RzFKcHGRpZmnSMlpgct_8A,#588CC7
6.484,3.152,EMU775SU5c6AVShI5D2cjA,#588CC7
6.484,3.169,zoMm3VaaQolTCo11Pv0UfA,#588CC7
6.486,3.17,amtu6LtiH6TPBk47FHqYyA,#588CC7
6.485,3.152,auiy3DuY6uLW7VeLl6aXRw,#588CC7
6.483,3.186,VFXdKop_Pkpj7_1IiY_ggA,#588CC7
6.484,3.186,wbKvilXJUncASy4iDLoKpw,#588CC7
6.485,3.187,tsW2Y4bDV9ECi9Ya5XN4EQ,#588CC7
6.485,3.17,mPIqhBojU8KhpCnuNgrxaw,#588CC7
6.486,3.187,9F8bjj1N1KwZV1XJ5f0iFw,#588CC7
6.486,3.153,C9agFO35Rg9lD1TRhQwscA,#588CC7
6.488,3.154,KHNes_2Pnp1qEQq_0GfwLA,#588CC7
6.488,3.171,AejQDyZHiOYq8sBIxnQKVw,#588CC7
6.487,3.188,XJlzxGRoqa81OyzSekJ5AQ,#588CC7
6.489,3.189,7EeriCd_A9HkC9t_tQCXsw,#588CC7
6.488,3.188,iyL92HqXMTjxjD8wxMJyRA,#588CC7
6.487,3.153,EDG5l3uo_Tthoh9cV6eE5w,#588CC7
6.49,3.155,YAgHeOyWY-2c365XRTPBpg,#588CC7
6.489,3.155,1lonAzGHayokbdkkqvC0hg,#588CC7
6.489,3.172,qHZJyM5d7U9arLxUQQGEKQ,#588CC7
6.487,3.171,WQxhnbPEGEfBdUaZm_uezg,#588CC7
6.49,3.172,uI3qqS5FW2F69WV61_nXTA,#588CC7
6.49,3.189,I7wxSzdHmuyh4OfKmOg-2g,#588CC7
6.492,3.191,8ikqBmxf-TuTDwWtGr3bJg,#588CC7
6.493,3.174,15t7UNCvelt9MsTI_OKnAA,#588CC7
6.493,3.157,I_9Dfhn65UK7aePSaHE-9g,#588CC7
6.491,3.19,hfgch4vtnYgDL-_vhh-Trg,#588CC7
6.492,3.173,82-Iyl5ZOL2QRsK3PIjZVw,#588CC7
6.491,3.173,8dlFPAp7o0LOuceSErfc-g,#588CC7
6.491,3.156,uRO6u95VSzwPS7ATkbCUNQ,#588CC7
6.492,3.156,mS1rE5BSNdL0Mimiw-6lRw,#588CC7
6.493,3.191,svt6_J0Uy0gjR2aJzAQL-A,#588CC7
6.495,3.175,FL-K-VTCCPIWN74vDGE1qQ,#588CC7
