lat,lon,image_id,color
6.4627790717872,3.3090847241333,,#FF0000
6.462666258234775,3.3163710042556875,,#FF0000
6.4631674836871,3.3167245696706997,,#FF0000
6.4625629104422,3.322409369189,,#FF0000
6.463091746789825,3.323157428593325,,#FF0000
6.462858250859001,3.55712478526685,,#FF0000
6.4633242792780665,3.5578723671821666,,#FF0000
6.4638958354501,3.20528171887936,,#FF0000
6.464077551176034,3.299879513831234,,#FF0000
6.464203130857434,3.3042091849866164,,#FF0000
6.4642800596260175,3.305069293079725,,#FF0000
6.4644308467993,3.3055199475753665,,#FF0000
6.464172408763449,3.3091053851104,,#FF0000
6.46373238761835,3.31715652100195,,#FF0000
6.4643369172011,3.317712106929825,,#FF0000
6.4636848385559,3.3241572040034,,#FF0000
6.4644147771697,3.3252482141042,,#FF0000
6.463641138592024,3.5583883486794,,#FF0000
6.4639740044775325,3.558976128817467,,#FF0000
6.4642687422869,3.559563919224,,#FF0000
6.4645117016559,3.2054855016943,,#FF0000
6.464974968488167,3.205639934154766,,#FF0000
6.4651374970409545,3.2992059303988333,,#FF0000
6.46461358874865,3.29953188790045,,#FF0000
6.4651113544393,3.3034229469542,,#FF0000
6.464991405755566,3.303698972848417,,#FF0000
6.464866003855063,3.3049759895201873,,#FF0000
6.46459224918416,3.30615842304992,,#FF0000
6.464795199958123,3.306976093443823,,#FF0000
6.465024918620301,3.3079633206343826,,#FF0000
6.4650267965663835,3.30907182868645,,#FF0000
6.465229573761867,3.3127488813155996,,#FF0000
6.4652281198232,3.31416115574205,,#FF0000
6.465209678242825,3.3151228218238002,,#FF0000
6.4652166095451005,3.3161206055153,,#FF0000
6.465052674419301,3.317284802841475,,#FF0000
6.46483007452608,3.31788167490312,,#FF0000
6.4645834338623,3.3254856252404,,#FF0000
6.465257638053,3.3264359435128,,#FF0000
6.464721594291817,3.560112767963967,,#FF0000
6.465216255815125,3.5608916742173675,,#FF0000
6.465974809411367,3.2058376179205,,#FF0000
6.466421840780133,3.2984135437739663,,#FF0000
6.46592386071175,3.29871500998021,,#FF0000
6.4660871293312,3.303329361268467,,#FF0000
6.465534451051,3.303506536937,,#FF0000
6.465744344683833,3.3124789331025,,#FF0000
6.466056623681467,3.3192595650411665,,#FF0000
6.46564918149835,3.3269661908712003,,#FF0000
6.466207381610699,3.3277194655488502,,#FF0000
6.46552899555585,3.5612939919353,,#FF0000
6.4658329506748,3.5618933039439256,,#FF0000
6.4662603773767335,3.5627030144940335,,#FF0000
6.467462041888,3.2054352755737,,#FF0000
6.46694531224045,3.2056527625783002,,#FF0000
6.467103912711524,3.298087414240881,,#FF0000
6.46730267339415,3.2987695645034503,,#FF0000
6.466991708773,3.3028919309222404,,#FF0000
6.46716411072425,3.31239933788945,,#FF0000
6.4667072589139325,3.319886324123767,,#FF0000
6.4674593481478,3.3205530107532,,#FF0000
6.4673175737242,3.3292165239995,,#FF0000
6.466631855415375,3.5631799707312,,#FF0000
6.467107291341434,3.5640080120080664,,#FF0000
6.4673730906551,3.5645684239352,,#FF0000
6.4677857417133,3.2052874023983,,#FF0000
6.468218414669746,3.297349457300285,,#FF0000
6.467731655862867,3.297674674834125,,#FF0000
6.467628019506525,3.2992860759612004,,#FF0000
6.467919948233501,3.2997226508335755,,#FF0000
6.468185195619267,3.3022523091254,,#FF0000
6.4681676749602,3.3123496514761,,#FF0000
6.467924842262833,3.3209607335556997,,#FF0000
6.4676186916889,3.5644220111402,,#FF0000
6.468039042521591,3.5651915305666906,,#FF0000
6.4681481059155,3.5657691770726,,#FF0000
6.4687490632285,3.2049361008225,,#FF0000
6.4686955268429545,3.297106104602061,,#FF0000
6.468860516499101,3.30194021132775,,#FF0000
6.46867552724915,3.31234100812595,,#FF0000
6.4693231453087,3.3222388876243,,#FF0000
6.4686415207704,3.3308954959169004,,#FF0000
6.469291077856833,3.3318268839580996,,#FF0000
6.46877658713515,3.5651547596926,,#FF0000
6.4699333965465,3.2044260970857,,#FF0000
6.4695313096388,3.2045830649331,,#FF0000
6.4695383604613,3.3029382499737,,#FF0000
6.4698788281003,3.3227965116040665,,#FF0000
6.4697506596748,3.3324960576758,,#FF0000
6.470124264241275,3.3330152711232253,,#FF0000
6.469960225798575,3.5652245643511753,,#FF0000
6.4706778541758,3.2041089633486,,#FF0000
6.4707770554309,3.305963435418025,,#FF0000
6.471024713406861,3.30690177127738,,#FF0000
6.471087556011966,3.308090357455033,,#FF0000
6.4711819418369325,3.3089266432734,,#FF0000
6.4713334882067,3.3103749489198,,#FF0000
6.471355502222761,3.31112242293744,,#FF0000
6.471258828348108,3.3121550617519997,,#FF0000
6.4714473310687,3.3125483930717,,#FF0000
6.4714381391019,3.3192754390898,,#FF0000
6.4711612246618,3.3203430916412,,#FF0000
6.470991240815,3.3209922098057,,#FF0000
6.4707875212656,3.3217484463117,,#FF0000
6.470668165084261,3.3231297950822793,,#FF0000
6.470962752696882,3.3237338072812004,,#FF0000
6.471135743081676,3.5653963191763123,,#FF0000
6.4713194440538,3.5920937318144,,#FF0000
6.4724809723648,3.2034197531872,,#FF0000
6.471817569325075,3.312145889902475,,#FF0000
6.4716249312701,3.3143756838913,,#FF0000
6.47168322806605,3.315042140958575,,#FF0000
6.471734851102401,3.3160209086036,,#FF0000
